Pincode,City,State,Delhivery,GATI,V-Xpress,Safexpress,Movin,DP World,Criticalog,Blue Dart,Baral,DTDC,Ethics,Ethics
321028,Bayana,Rajasthan,Serviceable,ODA-A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
176040,Bhota,Himachal Pradesh,Serviceable,NSZ,ODA-C,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
462031,Bhopal,Madhya Pradesh,Serviceable,NSZ,Serviceable,ODA-A,ODA-A,ODA -A,Serviceable,ODA-A,NSZ,Serviceable,NSZ,ODA-1
621012,Thuraiyur,Tamil Nadu,ODA-A,NSZ,ODA-B,ODA-A,NSZ,ODA -B,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-2
503212,Armoor,Telangana,ODA-A,NSZ,NSZ,ODA-A,NSZ,ODA -A,NSZ,NSZ,NSZ,NSZ,NSZ,ODA-1
711311,Howrah,West Bengal,ODA-A,NSZ,NSZ,ODA-A,Serviceable,DIRECT,NSZ,ODA-A,NSZ,NSZ,NSZ,Regular
621208,Kulithalai,Tamil Nadu,ODA-A,NSZ,ODA-B,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
365665,Amreli,Gujarat,Serviceable,ODA-A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
176075,Sujanpur,Himachal Pradesh,ODA-A,NSZ,ODA-D,ODA-A,NSZ,ODA -C,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-3
224166,Jalalpur,Uttar Pradesh,Serviceable,ODA-A,ODA-A,Serviceable,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
534211,Tanuku,Andhra Pradesh,Serviceable,NSZ,ODA-D,ODA-A,NSZ,ODA -A,NSZ,Serviceable,NSZ,ODA-C,NSZ,ODA-1
483330,Bahuriband,Madhya Pradesh,Serviceable,NSZ,ODA-B,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
560074,Bangalore,Karnataka,Serviceable,NSZ,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,Regular
841208,Ekma,Bihar,ODA-A,Serviceable,NSZ,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
233230,Mohammadabad,Uttar Pradesh,Serviceable,ODA-A,ODA-A,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
572225,Turuvukere,Karnataka,Serviceable,ODA-A,ODA-B,ODA-A,NSZ,ODA -A,Serviceable,ODA-A,NSZ,NSZ,NSZ,ODA-1
847204,Jhanjharpur,Bihar,Serviceable,NSZ,NSZ,ODA-A,NSZ,ODA -A,NSZ,NSZ,NSZ,ODA-B,NSZ,ODA-1
301021,Laxmangarh,Rajasthan,Serviceable,ODA-A,ODA-A,Serviceable,NSZ,ODA -A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-1
110085,Delhi Ncr,Delhi,Serviceable,Serviceable,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,Serviceable,Serviceable,Serviceable,Regular
585302,Aland,Karnataka,Serviceable,ODA-A,ODA-B,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-1
382705,Kadi,Gujarat,Serviceable,ODA-A,Serviceable,Serviceable,NSZ,DIRECT,ODA-A,Serviceable,NSZ,ODA-B,NSZ,ODA-1
800005,Patna,Bihar,Serviceable,Serviceable,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,Regular
508208,Nereducharla,Telangana,Serviceable,NSZ,ODA-C,ODA-A,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ
723152,Baghmundi,West Bengal,ODA-A,ODA-A,NSZ,ODA-A,NSZ,ODA-D,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-4
124001,Rohtak,Haryana,Serviceable,Serviceable,Serviceable,Serviceable,NSZ,DIRECT,Serviceable,Serviceable,Serviceable,Serviceable,NSZ,Regular
535204,Bhogapuram,Andhra Pradesh,ODA-A,NSZ,ODA-C,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,Serviceable,NSZ,NSZ
363510,Surendranagar,Gujarat,Serviceable,ODA-A,ODA-A,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-1
752113,Nimapara,Odisha,ODA-A,NSZ,NSZ,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,ODA-B,NSZ,ODA-1
341301,Khatu Khurd,Rajasthan,Serviceable,NSZ,ODA-D,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
802163,Arrah,Bihar,Serviceable,ODA-A,NSZ,ODA-A,NSZ,ODA-D,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-1
741253,Gopalnagar,West Bengal,Serviceable,ODA-A,NSZ,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
508101,Alair,Telangana,ODA-A,NSZ,ODA-A,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
131001,Sonipat,Haryana,Serviceable,Serviceable,Serviceable,Serviceable,ODA-A,DIRECT,ODA-A,Serviceable,Serviceable,Serviceable,NSZ,Regular
583135,Kudligi,Karnataka,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
636302,Omalur,Tamil Nadu,Serviceable,Serviceable,Serviceable,Serviceable,NSZ,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,Regular
403701,Goa,Goa,Serviceable,NSZ,Serviceable,ODA-A,ODA-A,ODA -A,ODA-A,ODA-A,NSZ,ODA-A,NSZ,ODA-1
632604,Gudiyattam,Tamil Nadu,ODA-A,NSZ,ODA-C,Serviceable,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
360025,Rajkot,Gujarat,Serviceable,ODA-A,ODA-A,Serviceable,ODA-A,ODA -A,Serviceable,ODA-A,NSZ,ODA-B,NSZ,ODA-1
302034,Jaipur,Rajasthan,Serviceable,NSZ,ODA-A,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,Regular
768034,Bargarh,Odisha,ODA-A,ODA-A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
609602,Karaikal,Pondicherry,ODA-A,ODA-A,ODA-C,ODA-A,NSZ,ODA -C,NSZ,Serviceable,NSZ,ODA-D,NSZ,ODA-3
201102,Ghaziabad,Uttar Pradesh,Serviceable,Serviceable,Serviceable,ODA-A,ODA-A,ODA -A,ODA-A,ODA-A,NSZ,ODA-A,NSZ,ODA-1
488448,Panna,Madhya Pradesh,Serviceable,ODA-B,NSZ,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
520012,Vijayawada,Andhra Pradesh,Serviceable,Serviceable,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,Regular
732214,Malda,West Bengal,ODA-A,NSZ,ODA-B,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
382450,Botad,Gujarat,ODA-A,ODA-A,ODA-C,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,Serviceable,NSZ,NSZ
742132,Khargram,West Bengal,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
480667,Seoni,Madhya Pradesh,ODA-A,NSZ,NSZ,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
752091,Daspalla,Odisha,ODA-A,ODA-A,NSZ,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
416311,Tasgaon,Maharashtra,ODA-A,ODA-A,ODA-C,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
533238,Ravulapalem,Andhra Pradesh,ODA-A,ODA-A,ODA-A,ODA-A,NSZ,ODA -A,Serviceable,ODA-A,NSZ,NSZ,NSZ,ODA-1
148019,Malerkotla,Punjab,Serviceable,ODA-A,ODA-A,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-1
382750,Patdi,Gujarat,Serviceable,ODA-A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
127306,Charkhi Dadri,Haryana,Serviceable,ODA-A,ODA-C,ODA-A,NSZ,NSZ,ODA-A,ODA-A,NSZ,NSZ,NSZ,NSZ
302011,Jaipur,Rajasthan,Serviceable,NSZ,NSZ,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,Regular
584104,Raichur,Karnataka,ODA-A,NSZ,ODA-D,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
799015,Agartala,Tripura,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,Serviceable,Serviceable,NSZ,NSZ,NSZ,NSZ
391530,Vadodara,Gujarat,Serviceable,NSZ,ODA-A,Serviceable,NSZ,NSZ,ODA-A,ODA-A,NSZ,ODA-B,NSZ,NSZ
753141,Cuttack,Odisha,ODA-A,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ
285128,Jalaun,Uttar Pradesh,ODA-A,ODA-A,NSZ,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
248147,Dehradun,Uttarakhand,ODA-A,Serviceable,NSZ,Serviceable,NSZ,ODA -A,NSZ,NSZ,NSZ,NSZ,NSZ,ODA-1
425108,Chopda,Maharashtra,Serviceable,ODA-A,ODA-C,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
678704,Anjumoorthy,Kerala,ODA-A,NSZ,ODA-A,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,Serviceable,NSZ,ODA-1
635201,Uthangarai,Tamil Nadu,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
224235,Akbarpur,Uttar Pradesh,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ
224129,Tanda,Uttar Pradesh,Serviceable,ODA-A,ODA-B,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
690517,Haripad,Kerala,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
143502,Tarsikka,Punjab,Serviceable,NSZ,Serviceable,Serviceable,NSZ,DIRECT,Serviceable,Serviceable,NSZ,NSZ,NSZ,Regular
389152,Dahod,Gujarat,ODA-A,ODA-A,ODA-C,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
230140,Lalganj Ajhara,Uttar Pradesh,Serviceable,NSZ,ODA-B,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
520003,Vijayawada,Andhra Pradesh,Serviceable,Serviceable,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,Regular
583123,Bellary,Karnataka,Serviceable,ODA-A,ODA-A,ODA-A,NSZ,ODA-D,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-4
827011,Bokaro,Jharkhand,Serviceable,NSZ,ODA-C,ODA-A,NSZ,NSZ,Serviceable,ODA-A,NSZ,Serviceable,NSZ,NSZ
679536,Sankaramangalam,Kerala,ODA-A,ODA-A,ODA-C,ODA-A,NSZ,ODA -B,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-2
670015,Kannur,Kerala,Serviceable,NSZ,NSZ,Serviceable,NSZ,DIRECT,NSZ,Serviceable,NSZ,NSZ,NSZ,ODA-1
583217,Haveri,Karnataka,Serviceable,ODA-A,ODA-B,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
322027,Sawai Madhopur,Rajasthan,ODA-A,NSZ,NSZ,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
626137,Rajapalayam,Tamil Nadu,Serviceable,ODA-A,Serviceable,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
782482,Bokolia,Assam,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ
502108,Siddipet,Telangana,ODA-A,ODA-A,ODA-B,Serviceable,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ
421504,Thane,Maharashtra,Serviceable,NSZ,Serviceable,ODA-A,NSZ,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,ODA-1
244226,Moradabad,Uttar Pradesh,Serviceable,ODA-A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
444105,Karanja,Maharashtra,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
678009,Palakkad,Kerala,Serviceable,Serviceable,Serviceable,ODA-A,NSZ,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,ODA-1
248158,Dehradun,Uttarakhand,Serviceable,NSZ,Serviceable,Serviceable,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ
505476,Huzurabad,Telangana,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
122414,Pataudi,Haryana,Serviceable,NSZ,Serviceable,ODA-A,NSZ,DIRECT,NSZ,Serviceable,NSZ,ODA-A,NSZ,Regular
695506,Neyyattinkara,Kerala,ODA-A,ODA-A,ODA-A,ODA-A,NSZ,ODA -A,Serviceable,ODA-A,NSZ,ODA-A,NSZ,ODA-1
695528,Neyyattinkara,Kerala,ODA-A,NSZ,Serviceable,ODA-A,NSZ,DIRECT,Serviceable,NSZ,NSZ,Serviceable,NSZ,Regular
623560,Shivagangai,Tamil Nadu,Serviceable,NSZ,NSZ,Serviceable,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ
767001,Balangir,Odisha,Serviceable,Serviceable,ODA-C,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
396108,Bhilad,Gujarat,ODA-A,NSZ,NSZ,Serviceable,NSZ,DIRECT,NSZ,NSZ,NSZ,NSZ,NSZ,Regular
343025,Jalore,Rajasthan,ODA-A,NSZ,ODA-D,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
632312,Arani,Tamil Nadu,ODA-A,ODA-A,ODA-C,ODA-A,NSZ,NSZ,Serviceable,ODA-A,NSZ,NSZ,NSZ,NSZ
229502,Unnao,Uttar Pradesh,Serviceable,ODA-A,ODA-A,ODA-A,NSZ,ODA -B,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-2
224116,Rudauli,Uttar Pradesh,ODA-A,NSZ,ODA-C,ODA-A,NSZ,ODA-D,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-4
756110,Bhadrak,Odisha,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ
722162,Simlapal,West Bengal,ODA-A,ODA-A,NSZ,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
623518,Rameswaram,Tamil Nadu,ODA-A,ODA-B,ODA-C,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
485115,Rampurbaghelan,Madhya Pradesh,Serviceable,NSZ,NSZ,ODA-A,NSZ,ODA -A,NSZ,Serviceable,NSZ,NSZ,NSZ,ODA-1
585417,Aurad,Karnataka,Serviceable,ODA-A,ODA-C,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
743387,Baruipur,West Bengal,ODA-A,NSZ,ODA-B,ODA-A,NSZ,ODA -A,Serviceable,ODA-A,NSZ,ODA-B,NSZ,ODA-1
333041,Jhunjhunu,Rajasthan,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
689625,Manthuka,Kerala,Serviceable,Serviceable,ODA-A,ODA-A,NSZ,NSZ,ODA-A,ODA-A,NSZ,NSZ,NSZ,NSZ
721128,Chandrakona Road,West Bengal,ODA-A,NSZ,NSZ,ODA-A,NSZ,ODA -C,Serviceable,ODA-A,NSZ,NSZ,NSZ,ODA-3
581308,Karwar,Karnataka,ODA-A,NSZ,ODA-C,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
600098,Chennai,Tamil Nadu,Serviceable,Serviceable,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,ODA,Regular
713336,Asansol,West Bengal,Serviceable,Serviceable,ODA-B,ODA-A,NSZ,NSZ,Serviceable,ODA-A,NSZ,ODA-B,NSZ,NSZ
848205,Singhia,Bihar,Serviceable,ODA-A,ODA-C,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
503223,Armoor,Telangana,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
518501,Nandyal,Andhra Pradesh,ODA-A,ODA-A,ODA-A,ODA-A,NSZ,ODA -B,NSZ,Serviceable,NSZ,ODA-D,NSZ,ODA-2
181103,Miran Sahib,Jammu & Kashmir,Serviceable,ODA-A,NSZ,Serviceable,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ
518553,Chagalamarri,Andhra Pradesh,ODA-A,ODA-B,NSZ,ODA-A,NSZ,ODA -C,ODA-A,NSZ,NSZ,NSZ,NSZ,ODA-3
324003,Kota,Rajasthan,Serviceable,NSZ,Serviceable,Serviceable,NSZ,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,Regular
360450,Upleta,Gujarat,ODA-A,ODA-A,ODA-C,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
782440,Hojai,Assam,ODA-A,ODA-B,NSZ,ODA-A,NSZ,ODA -A,Serviceable,Serviceable,NSZ,NSZ,NSZ,ODA-1
370627,Dayapar,Gujarat,Serviceable,ODA-B,ODA-D,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
140109,Mohali,Punjab,Serviceable,ODA-A,Serviceable,Serviceable,ODA-A,ODA -A,Serviceable,ODA-A,NSZ,ODA-C,NSZ,ODA-1
416204,Kale,Maharashtra,Serviceable,ODA-A,Serviceable,ODA-A,NSZ,ODA -A,Serviceable,ODA-A,NSZ,Serviceable,NSZ,ODA-1
574237,Moodabidri,Karnataka,ODA-A,ODA-B,ODA-A,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-1
534123,Penugonda,Andhra Pradesh,Serviceable,ODA-A,ODA-B,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
609303,Karaikal,Pondicherry,ODA-A,ODA-A,NSZ,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
421403,Murbad,Maharashtra,Serviceable,NSZ,ODA-C,Serviceable,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
400602,Thane,Maharashtra,Serviceable,Serviceable,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,Serviceable,Regular
177024,Jahu,Himachal Pradesh,Serviceable,ODA-B,ODA-D,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
416411,Kavathe Mahankal,Maharashtra,Serviceable,ODA-A,ODA-C,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
790105,Tawang,Arunachal Pradesh,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
532148,Rajam,Andhra Pradesh,ODA-A,NSZ,ODA-B,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
144306,Dasuya,Punjab,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,ODA-B,NSZ,ODA-2
462004,Bhopal,Madhya Pradesh,Serviceable,NSZ,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,Regular
686033,Kottayam,Kerala,ODA-A,Serviceable,NSZ,Serviceable,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
285196,Orai,Uttar Pradesh,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
301030,Alwar,Rajasthan,ODA-A,Serviceable,Serviceable,Serviceable,NSZ,DIRECT,ODA-A,ODA-A,NSZ,Serviceable,NSZ,Regular
500076,Hyderabad,Telangana,Serviceable,NSZ,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,Serviceable,Serviceable,Serviceable,Regular
394111,Kosamba,Gujarat,ODA-A,NSZ,Serviceable,ODA-A,ODA-A,ODA -A,Serviceable,ODA-A,NSZ,ODA-B,NSZ,ODA-1
143513,Batala,Punjab,Serviceable,ODA-A,ODA-A,ODA-A,NSZ,ODA -B,Serviceable,ODA-A,NSZ,NSZ,NSZ,ODA-2
209881,Malihabad,Uttar Pradesh,ODA-A,NSZ,ODA-B,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
741234,Kalyani,West Bengal,Serviceable,Serviceable,NSZ,ODA-A,NSZ,NSZ,ODA-A,ODA-A,NSZ,ODA-B,NSZ,NSZ
829113,Phusro,Jharkhand,ODA-A,NSZ,ODA-C,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,ODA-B,NSZ,ODA-1
388230,Umreth,Gujarat,ODA-A,ODA-A,Serviceable,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
691330,Ayoor,Kerala,ODA-A,ODA-A,NSZ,Serviceable,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
695582,Kazhakkoottam,Kerala,Serviceable,Serviceable,Serviceable,Serviceable,NSZ,DIRECT,ODA-A,ODA-A,NSZ,Serviceable,NSZ,Regular
713156,Guskhara,West Bengal,ODA-A,NSZ,NSZ,ODA-A,NSZ,NSZ,Serviceable,ODA-A,NSZ,NSZ,NSZ,NSZ
605203,Viluppuram,Tamil Nadu,Serviceable,ODA-A,ODA-A,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,ODA-B,NSZ,ODA-2
518001,Kurnool,Andhra Pradesh,Serviceable,Serviceable,Serviceable,Serviceable,NSZ,DIRECT,NSZ,Serviceable,NSZ,Serviceable,NSZ,ODA-1
535558,Bobbili,Andhra Pradesh,ODA-A,NSZ,ODA-B,ODA-A,NSZ,NSZ,ODA-A,NSZ,NSZ,ODA-C,NSZ,NSZ
152132,Abohar,Punjab,ODA-A,ODA-A,ODA-C,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
829110,Peterbar,Jharkhand,Serviceable,ODA-A,ODA-C,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-1
695547,Nedumangad,Kerala,Serviceable,ODA-A,Serviceable,ODA-A,NSZ,DIRECT,ODA-A,ODA-A,NSZ,Serviceable,NSZ,Regular
277216,Bariya,Uttar Pradesh,Serviceable,ODA-A,ODA-A,ODA-A,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ
523320,Markapur,Andhra Pradesh,ODA-A,ODA-A,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ
248171,Dehradun,Uttarakhand,Serviceable,Serviceable,Serviceable,Serviceable,NSZ,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,Regular
583212,Hagaribommanahalli,Karnataka,ODA-A,NSZ,ODA-A,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
638660,Palladam,Tamil Nadu,ODA-A,NSZ,ODA-A,ODA-A,NSZ,ODA -B,ODA-A,Serviceable,NSZ,NSZ,NSZ,ODA-2
721656,Bajkul,West Bengal,ODA-A,NSZ,ODA-C,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
173214,Solan,Himachal Pradesh,ODA-A,Serviceable,Serviceable,ODA-A,NSZ,NSZ,ODA-A,Serviceable,NSZ,Serviceable,NSZ,NSZ
485774,Maihar,Madhya Pradesh,ODA-A,ODA-A,NSZ,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
626133,Maharajapuram,Tamil Nadu,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
804453,Patna,Bihar,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
243633,Budaun,Uttar Pradesh,ODA-A,NSZ,ODA-A,ODA-A,NSZ,NSZ,ODA-A,ODA-A,NSZ,NSZ,NSZ,NSZ
331025,Malsisar,Rajasthan,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
788101,Pailapool,Assam,ODA-A,ODA-A,NSZ,ODA-A,NSZ,ODA -A,NSZ,NSZ,NSZ,NSZ,NSZ,ODA-1
472331,Jatara,Madhya Pradesh,Serviceable,ODA-A,NSZ,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
643270,Gudalur,Tamil Nadu,ODA-A,ODA-A,ODA-D,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
764048,Malkangiri,Odisha,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
160002,Chandigarh,Chandigarh,Serviceable,Serviceable,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,Serviceable,Serviceable,NSZ,Regular
272181,Itava,Uttar Pradesh,ODA-A,ODA-A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
440031,Nagpur,Maharashtra,Serviceable,NSZ,NSZ,Serviceable,NSZ,DIRECT,NSZ,NSZ,NSZ,Serviceable,NSZ,Regular
431508,Mantha,Maharashtra,Serviceable,ODA-A,ODA-C,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
